,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
0,774684605,2022-08-12T18:45:44+02:00,2022-08-12T18:47:48+02:00,680000,Lublin,http://www.olx.pl/d/oferta/nowy-apartament-3-pok-10min-do-centrum-wronska-3d-z-garazem-majdanek-CID3-IDQquQZ.html,10793.65,floor_1,yes,primary,apartamentowiec,63,three
1,769763214,2022-07-18T20:20:27+02:00,2022-08-16T13:16:11+02:00,590000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-w-metropolitan-park-lublin-CID3-IDQ5QzI.html,10651.74,floor_8,yes,secondary,apartamentowiec,55.39,two
2,761005539,2022-06-06T16:35:04+02:00,2022-08-17T17:40:35+02:00,320000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-z-tarasem-2-pokojowe-wrotkow-CID3-IDPw6iT.html,8434.37,floor_0,no,secondary,blok,37.94,two
3,733290338,2022-01-28T18:50:16+01:00,2022-08-17T17:52:56+02:00,430000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-ponikwodzie-na-sprzedaz-CID3-IDNCOjv.html,9094.75,floor_1,yes,secondary,apartamentowiec,47.28,two
4,767222291,2022-07-07T07:04:59+02:00,2022-08-17T15:56:42+02:00,535000,Lublin,http://www.olx.pl/d/oferta/nowe-mieszkanie-3-pokojowe-wykonczone-ogrodek-ul-kwarcowa-CID3-IDPWbz5.html,10519.07,floor_0,yes,secondary,blok,50.86,three
5,768069694,2022-07-10T21:33:12+02:00,2022-08-15T14:28:22+02:00,599000,Lublin,http://www.olx.pl/d/oferta/bazylianowka-zamkniete-osiedle-brzozowy-park-72-m2-CID3-IDPYK0S.html,8365.92,floor_1,yes,secondary,blok,71.6,three
6,772962423,2022-08-03T22:49:02+02:00,2022-08-16T00:52:10+02:00,450000,Lublin,http://www.olx.pl/d/oferta/gotowiec-inwestycyjny-balladyny-roi-9-10-w-skali-roku-CID3-IDQjgPR.html,8181.82,,yes,secondary,blok,55,four
7,773086197,2022-08-04T16:07:12+02:00,2022-08-10T18:16:15+02:00,499000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-m-postojowe-garderoba-42-4m2-ul-wolinskiego-CID3-IDQjN2d.html,11768.87,floor_2,yes,secondary,blok,42.4,two
8,772438732,2022-08-01T15:56:43+02:00,2022-08-17T15:04:23+02:00,462000,Lublin,http://www.olx.pl/d/oferta/3-pokoje-po-remoncie-umeblowane-lsm-CID3-IDQh4Be.html,7979.27,floor_0,yes,secondary,blok,57.9,three
9,760211383,2022-06-02T10:20:27+02:00,2022-08-17T15:00:17+02:00,480000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-lublin-czuby-kaczencowa-CID3-IDPrLHW.html,7993.34,floor_3,no,secondary,blok,60.05,three
10,758324841,2022-05-23T19:22:27+02:00,2022-08-17T14:56:13+02:00,529999,Lublin,http://www.olx.pl/d/oferta/czuby-wysoki-standard-62-5-m2-bezposrednio-CID3-IDPjQWP.html,8479.98,floor_0,no,secondary,blok,62.5,three
11,751656232,2022-04-21T11:26:03+02:00,2022-08-17T14:36:25+02:00,437000,Lublin,http://www.olx.pl/d/oferta/sprzedam-4-pokoje-60-54-m2-bez-piecyka-gazowego-CID3-IDORS7C.html,7218.37,floor_3,no,secondary,blok,60.54,four
12,767728613,2022-07-09T11:39:37+02:00,2022-08-17T13:28:34+02:00,1800000,Lublin,http://www.olx.pl/d/oferta/piekny-150m-apartament-4-pokoje-dwie-lazienki-winda-2-garaze-CID3-IDPXjhz.html,12000,floor_3,yes,secondary,blok,150,four
13,774707980,2022-08-12T21:14:21+02:00,2022-08-13T16:44:08+02:00,355700,Lublin,http://www.olx.pl/d/oferta/prywatnie-1-pietro-nowy-budynek-ogrodek-plus-parking-gratis-CID3-IDQqAV0.html,5557.81,floor_1,no,primary,pozostale,64,three
14,771487516,2022-07-27T18:19:45+02:00,2022-08-15T18:23:22+02:00,307000,Lublin,http://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-43m2-ulica-lwowska-CID3-IDQd592.html,7139.53,floor_2,yes,secondary,blok,43,two
15,770576657,2022-07-23T07:24:13+02:00,2022-08-13T09:32:12+02:00,440000,Lublin,http://www.olx.pl/d/oferta/i-e-pietro-4-pokoje-bardzo-dobra-lokalizacja-szybki-termin-wydania-CID3-IDQ9gbL.html,7370.18,floor_1,yes,secondary,blok,59.7,four
16,765612326,2022-06-28T20:50:49+02:00,2022-07-29T10:48:34+02:00,479000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-os-czuby-poreba-3-pokoje-CID3-IDPOqJU.html,7485.54,floor_2,no,secondary,blok,63.99,three
17,773244167,2022-08-05T14:05:05+02:00,2022-08-12T16:16:20+02:00,369000,Lublin,http://www.olx.pl/d/oferta/bronowice-mieszkanie-3-pok-60-mkw-bez-posrednikow-CID3-IDQks87.html,6150,floor_0,yes,secondary,blok,60,three
18,768741304,2022-07-13T17:40:25+02:00,2022-08-16T12:12:14+02:00,750000,Lublin,http://www.olx.pl/d/oferta/atrakcyjne-mieszkanie-dla-rodziny-80-m2-czuby-os-poreba-CID3-IDQ1yJi.html,9433.96,floor_0,yes,secondary,blok,79.5,four
19,724763899,2021-12-17T14:26:11+01:00,2022-08-17T11:29:06+02:00,799000,Lublin,http://www.olx.pl/d/oferta/wyjatkowe-dwupoziomowe-5-pokoi-115-6-m-rogatka-warszawska-slawinek-CID3-IDN32cj.html,5435.37,floor_4,yes,secondary,blok,147,four
20,775510720,2022-08-17T10:51:51+02:00,2022-08-17T11:11:19+02:00,299900,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-ul-niepodleglosci-CID3-IDQtXLq.html,7689.74,floor_7,yes,secondary,blok,39,two
