,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
248,779598795,2022-09-05T11:17:31+02:00,2022-09-05T11:29:13+02:00,320000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-1-pietro-bez-posrednikow-CID3-IDQL7g7.html,6659.73,floor_1,yes,secondary,blok,48.05,two
249,779597217,2022-09-05T11:12:17+02:00,2022-09-05T11:18:10+02:00,475000,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-CID3-IDQL6QF.html,9223.3,floor_4,no,secondary,blok,51.5,two
250,776148714,2022-08-20T12:05:10+02:00,2022-09-08T11:40:30+02:00,399000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-wieniawa-2pok-37m-umcs-kul-bezposrednio-CID3-IDQvDJE.html,10783.78,floor_2,yes,secondary,blok,37,two
251,778205382,2022-08-29T22:28:35+02:00,2022-09-09T22:44:43+02:00,470000,Lublin,http://www.olx.pl/d/oferta/lublin-lsm-3-pokoje-2-pietro-os-b-prusa-CID3-IDQFgLI.html,9791.67,floor_2,yes,secondary,blok,48,three
252,684338389,2021-06-20T09:56:05+02:00,2022-09-05T10:52:24+02:00,319000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-dwa-pokoje-przyjazni-CID3-IDKjpFX.html,8242.89,floor_3,yes,secondary,blok,38.7,two
253,774684605,2022-08-12T18:45:44+02:00,2022-09-09T14:48:06+02:00,670000,Lublin,http://www.olx.pl/d/oferta/nowy-apartament-3-pok-10min-do-centrum-wronska-3d-z-garazem-majdanek-CID3-IDQquQZ.html,10634.92,floor_1,yes,primary,apartamentowiec,63,three
254,777153256,2022-08-24T17:20:07+02:00,2022-09-07T19:40:52+02:00,267000,Lublin,http://www.olx.pl/d/oferta/kawalerka-lublin-czuby-CID3-IDQAR3V.html,8253.48,floor_11,yes,secondary,blok,32.35,one
255,779830929,2022-09-06T10:42:50+02:00,2022-09-10T09:32:12+02:00,420000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lsm-super-widne-ustawne-CID3-IDQM5Ed.html,6862.75,floor_10,no,secondary,blok,61.2,four
256,780677837,2022-09-10T11:17:26+02:00,2022-09-10T11:21:35+02:00,469000,Lublin,http://www.olx.pl/d/oferta/wykonczone-42m2-2-pietro-blok-2022-bez-pcc-CID3-IDQPDY1.html,11166.67,floor_2,yes,secondary,blok,42,two
257,777557372,2022-08-26T16:45:19+02:00,2022-09-08T19:40:20+02:00,397000,Lublin,http://www.olx.pl/d/oferta/sprzedam-2-pokoje-poreba-47-8-m2-CID3-IDQCybV.html,8305.44,floor_4,yes,secondary,blok,47.8,two
258,780727794,2022-09-10T14:13:29+02:00,2022-09-10T14:18:29+02:00,560000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3pok-garaz-piwnica-gesia-weglin-CID3-IDQPQXM.html,8981.56,floor_2,yes,secondary,blok,62.35,three
259,720490169,2021-11-28T20:37:54+01:00,2022-09-08T20:56:14+02:00,359000,Lublin,http://www.olx.pl/d/oferta/3-pokojowe-mieszkanie-po-remoncie-CID3-IDML6pb.html,7953.04,floor_0,no,secondary,blok,45.14,three
260,773244167,2022-08-05T14:05:05+02:00,2022-09-08T09:40:00+02:00,355000,Lublin,http://www.olx.pl/d/oferta/bronowice-mieszkanie-3-pok-60-mkw-bez-posrednikow-CID3-IDQks87.html,5916.67,floor_0,yes,secondary,blok,60,three
261,765994471,2022-06-30T16:49:21+02:00,2022-09-10T12:28:41+02:00,329900,Lublin,http://www.olx.pl/d/oferta/nowe-2pok-z-ogrodkiem-weglinek-ul-koralowa-czuby-CID3-IDPQ29x.html,8573.28,floor_0,no,primary,blok,38.48,two
262,775451884,2022-08-16T22:13:45+02:00,2022-09-10T00:16:18+02:00,550000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-3-pok-przy-samym-uniw-medycznym-z-widokiem-okazja-CID3-IDQtIss.html,8986.93,floor_8,yes,secondary,blok,61.2,three
263,772962423,2022-08-03T22:49:02+02:00,2022-09-09T17:36:36+02:00,450000,Lublin,http://www.olx.pl/d/oferta/gotowiec-inwestycyjny-balladyny-roi-ponad-11-w-skali-roku-lsm-CID3-IDQjgPR.html,8181.82,,yes,secondary,blok,55,four
264,780592234,2022-09-09T19:03:33+02:00,2022-09-09T19:05:37+02:00,323000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-przy-politechnice-doskonala-inwestycja-CID3-IDQPhHk.html,8075,floor_7,no,secondary,blok,40,two
265,778188179,2022-08-29T21:12:25+02:00,2022-09-04T23:16:29+02:00,459000,Lublin,http://www.olx.pl/d/oferta/wyscigowa-3-pokoje-2-balkony-miejsce-w-garazu-z-instal-elektr-CID3-IDQFcif.html,9479.55,floor_5,no,secondary,blok,48.42,three
266,677589434,2021-05-13T19:15:27+02:00,2022-09-04T22:36:44+02:00,370000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-kalinowszczyzna-balkon-CID3-IDJR5XQ.html,9250,floor_3,no,secondary,blok,40,two
267,776359146,2022-08-21T13:46:11+02:00,2022-09-04T21:11:57+02:00,435000,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-58m-osiedle-kruczkowskiego-CID3-IDQxvtI.html,7500,floor_0,no,secondary,blok,58,four
268,779506849,2022-09-04T20:08:01+02:00,2022-09-04T20:33:21+02:00,585000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-osiedlu-konstantynow-CID3-IDQKJl7.html,7312.5,floor_3,yes,secondary,kamienica,80,four
269,779493882,2022-09-04T19:16:52+02:00,2022-09-04T19:23:28+02:00,437000,Lublin,http://www.olx.pl/d/oferta/3-pokoje-duzy-balkon-bez-piecyka-tymiankowa-bezposrednio-CID3-IDQKFXY.html,8918.37,floor_4,yes,secondary,blok,49,three
270,776279644,2022-08-20T23:39:19+02:00,2022-09-04T01:10:35+02:00,315000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-32m-lsm-juranda-CID3-IDQxbNq.html,9843.75,floor_2,yes,secondary,blok,32,two
271,780592234,2022-09-09T19:03:33+02:00,2022-09-09T19:05:37+02:00,323000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-przy-politechnice-doskonala-inwestycja-CID3-IDQPhHk.html,8075,floor_7,no,secondary,blok,40,two
272,779275431,2022-09-03T19:05:47+02:00,2022-09-09T21:12:27+02:00,290000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-34-5m2-czuby-CID3-IDQJL8z.html,8405.8,floor_9,yes,secondary,blok,34.5,two
273,773128232,2022-08-04T19:38:41+02:00,2022-09-04T17:05:35+02:00,595000,Lublin,http://www.olx.pl/d/oferta/3-pokoje-68m2-2p-winda-lublin-bazylianowka-CID3-IDQjXYc.html,8750,floor_2,yes,secondary,blok,68,two
274,779434365,2022-09-04T15:42:45+02:00,2022-09-04T15:48:00+02:00,380000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-47-4-m-czuby-CID3-IDQKqu1.html,8016.88,floor_11,no,secondary,blok,47.4,two
275,773211980,2022-08-05T11:41:26+02:00,2022-09-04T14:49:51+02:00,400000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-ul-pogodna-parter-piwnica-49m2-CID3-IDQkjKY.html,8163.27,floor_0,no,secondary,blok,49,two
276,774684605,2022-08-12T18:45:44+02:00,2022-09-09T14:48:06+02:00,670000,Lublin,http://www.olx.pl/d/oferta/nowy-apartament-3-pok-10min-do-centrum-wronska-3d-z-garazem-majdanek-CID3-IDQquQZ.html,10634.92,floor_1,yes,primary,apartamentowiec,63,three
277,773868830,2022-08-08T19:39:47+02:00,2022-09-07T20:36:35+02:00,295999,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-37-m-w-centrum-lublina-ul-narutowicza-64-CID3-IDQn4Dk.html,7999.97,floor_1,yes,secondary,kamienica,37,two
278,779284771,2022-09-03T19:58:58+02:00,2022-09-09T22:00:32+02:00,340000,Lublin,http://www.olx.pl/d/oferta/3-pokoje-48m-1-pietro-tumidajskiego-10-okna-pcv-oddzielna-kuchnia-CID3-IDQJNzd.html,7083.33,floor_1,yes,secondary,blok,48,three
