,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
0,783660963,2022-09-22T09:49:35+02:00,2022-10-25T12:17:46+02:00,375000,Lublin,http://www.olx.pl/d/oferta/lublin-mieszkanie-58-m2-w-dobrej-lokalizacji-CID3-IDR2a0X.html,6510.42,floor_5,yes,secondary,blok,57.6,three
1,777986778,2022-08-29T08:19:15+02:00,2022-10-25T11:48:09+02:00,330000,Lublin,http://www.olx.pl/d/oferta/gotowe-do-wejscia-CID3-IDQElTQ.html,9780.68,floor_2,no,secondary,kamienica,33.74,two
2,791353970,2022-10-25T16:15:44+02:00,2022-10-25T16:23:13+02:00,287000,Lublin,http://www.olx.pl/d/oferta/2-pokoje-lsm-skrzatow-2-parking-za-szlabanem-CID3-IDRyrjI.html,8830.77,floor_7,yes,secondary,blok,32.5,two
3,791412943,2022-10-25T20:00:10+02:00,2022-10-25T21:14:02+02:00,535000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lublin-osiedle-botanik-CID3-IDRyGET.html,10490.2,floor_1,yes,secondary,blok,51,three
4,758324841,2022-05-23T19:22:27+02:00,2022-10-27T14:35:49+02:00,529999,Lublin,http://www.olx.pl/d/oferta/czuby-wysoki-standard-62-5-m2-bezposrednio-CID3-IDPjQWP.html,8479.98,floor_0,no,secondary,blok,62.5,three
5,774684605,2022-08-12T18:45:44+02:00,2022-10-27T14:11:16+02:00,625000,Lublin,http://www.olx.pl/d/oferta/nowy-apartament-3-pok-10min-do-centrum-wronska-3d-z-garazem-majdanek-CID3-IDQquQZ.html,9920.63,floor_1,yes,primary,apartamentowiec,63,three
6,785053439,2022-09-28T13:21:14+02:00,2022-10-25T15:28:07+02:00,354900,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-lublin-czuby-dziewanny-parter-CID3-IDR80gf.html,7393.75,floor_0,no,secondary,blok,48,two
7,783301393,2022-09-20T18:33:08+02:00,2022-10-20T19:13:39+02:00,985000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-70m2-standard-premium-osiedle-kameralny-slawin-CID3-IDR0Etr.html,14071.43,floor_3,yes,secondary,blok,70,three
8,791080608,2022-10-24T14:20:26+02:00,2022-10-24T14:25:03+02:00,319997,Lublin,http://www.olx.pl/d/oferta/kawalerka-do-wejscia-gleboka-23-CID3-IDRxicE.html,9999.91,floor_1,yes,secondary,blok,32,one
9,735288660,2022-02-06T11:12:14+01:00,2022-10-26T12:56:09+02:00,469000,Lublin,http://www.olx.pl/d/oferta/sprzedam-mieszkanie-3-pokoje-lsm-blisko-politechniki-60m-super-okazja-CID3-IDNLcav.html,7790.7,floor_4,no,secondary,blok,60.2,three
10,778455202,2022-08-30T23:30:25+02:00,2022-10-26T20:44:13+02:00,490000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-4-pokojowe-73m-CID3-IDQGjL4.html,6712.33,floor_0,yes,secondary,blok,73,four
