,id,createdTime,lastRefresh,price,location,url,price_per_m,floor_select,furniture,market,builttype,m,rooms
384,747589155,2022-04-01T14:53:17+02:00,2022-07-27T14:57:37+02:00,409000,Lublin,http://www.olx.pl/d/oferta/przytulne-mieszkanie-kalinowszczyzna-tumidajskiego-6-CID3-IDOAO5B.html,8520.83,floor_5,yes,secondary,blok,48,three
385,762697264,2022-06-15T10:51:28+02:00,2022-07-27T14:40:43+02:00,339000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-dla-studenta-pary-kalinowszczyzna-ul-okrzei-CID3-IDPCcoM.html,8860.43,floor_8,yes,secondary,blok,38.26,two
386,750814321,2022-04-16T14:48:53+02:00,2022-08-08T14:15:56+02:00,394000,Lublin,http://www.olx.pl/d/oferta/centrum-ul-lipowa-17-przy-ch-plaza-wlasnosciowe-z-kw-CID3-IDOOl6p.html,10423.28,floor_4,no,secondary,blok,37.8,two
387,768833166,2022-07-14T09:43:16+02:00,2022-08-07T10:27:31+02:00,439000,Lublin,http://www.olx.pl/d/oferta/sprzedam-3-pokoje-biernackiego-12a-wyposazone-miejsce-garazowe-CID3-IDQ1VCV.html,9145.83,floor_5,yes,secondary,blok,48,three
388,770184513,2022-07-20T21:25:17+02:00,2022-08-08T10:04:34+02:00,418000,Lublin,http://www.olx.pl/d/oferta/3-pokoje-w-gotowej-inwestycji-07-2022-odbior-jantarowa-sm-CID3-IDQ7CaR.html,7689.48,floor_1,no,primary,apartamentowiec,54.36,three
389,768760966,2022-07-13T19:14:44+02:00,2022-07-27T13:14:55+02:00,599000,Lublin,http://www.olx.pl/d/oferta/lublin-ul-relaksowa-77-m2-w-pelni-umeblowane-agd-miejsce-garaz-CID3-IDQ1DQq.html,7765.1,floor_0,yes,secondary,blok,77.14,three
390,768761531,2022-07-13T19:17:33+02:00,2022-07-27T13:02:31+02:00,380000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-garderoba-felin-bez-piecyka-CID3-IDQ1DZx.html,8695.65,floor_4,yes,secondary,blok,43.7,two
391,766080687,2022-07-01T08:40:22+02:00,2022-08-07T23:44:26+02:00,330000,Lublin,http://www.olx.pl/d/oferta/2-pokojowe-umeblowane-mieszkanie-na-lsm-ie-ul-t-zana-CID3-IDPQoA7.html,9593.02,floor_10,yes,secondary,blok,34.4,two
392,743927433,2022-03-17T00:39:23+01:00,2022-07-29T17:25:16+02:00,335000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-lublin-ul-okrzei-37m2-piwnica-ogloszenie-prywatne-CID3-IDOlrwz.html,9054.05,floor_2,yes,secondary,blok,37,two
393,772338134,2022-08-01T08:53:46+02:00,2022-08-01T08:55:50+02:00,639000,Lublin,http://www.olx.pl/d/oferta/sprzedam-3-pokojowe-mieszkanie-CID3-IDQgEqG.html,9830.77,floor_3,yes,secondary,blok,65,three
394,676620370,2021-05-08T17:57:28+02:00,2022-07-27T11:22:47+02:00,683000,Lublin,http://www.olx.pl/d/oferta/sprzedaz-prywatna-przestronnego-mieszkania-narutowicza-CID3-IDJN1RM.html,9229.73,floor_1,yes,secondary,blok,74,three
395,772963603,2022-08-03T22:57:03+02:00,2022-08-07T01:00:34+02:00,349700,Lublin,http://www.olx.pl/d/oferta/lsm-2-pokoje-swietny-uklad-CID3-IDQjh8T.html,10760,,no,secondary,blok,32.5,two
396,744501317,2022-03-19T16:22:12+01:00,2022-08-07T14:48:18+02:00,339000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-2-pokoje-39-m2-lublin-tumidajskiego-sprzedam-bezposrednio-CID3-IDOnQNL.html,8692.31,floor_7,no,secondary,blok,39,two
397,773625056,2022-08-07T16:41:55+02:00,2022-08-07T16:50:17+02:00,330000,Lublin,http://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-3-pokoje-po-remoncie-inwestycyjne-lsm-zana-29-CID3-IDQm3du.html,9428.57,floor_6,yes,secondary,blok,35,three
