,id,createdTime,lastRefresh,price,location,price_per_m,floor_select,furniture,market,builttype,m,rooms
37,770198813,2022-07-20T22:57:15+02:00,2022-07-23T13:17:30+02:00,322000.0,Lublin,10637.59,floor_0,yes,secondary,apartamentowiec,30.27,one
38,754645033,2022-05-06T10:11:42+02:00,2022-07-23T12:04:46+02:00,465000.0,Lublin,9893.62,floor_3,yes,secondary,blok,47,three
39,768363364,2022-07-12T07:31:33+02:00,2022-07-12T08:46:09+02:00,369000.0,Lublin,8413.13,floor_3,yes,primary,blok,43.86,two
40,672024474,2021-04-16T21:53:02+02:00,2022-07-22T21:20:16+02:00,680000.0,Lublin,8000,floor_4,yes,secondary,kamienica,85,three
41,770669865,2022-07-23T17:10:10+02:00,2022-07-23T17:15:01+02:00,320000.0,Lublin,8350.73,floor_9,yes,secondary,blok,38.32,two
42,769234586,2022-07-16T08:02:01+02:00,2022-07-23T10:08:21+02:00,639000.0,Lublin,8602.58,floor_3,yes,secondary,blok,74.28,four
43,724763899,2021-12-17T14:26:11+01:00,2022-07-24T15:12:26+02:00,799000.0,Lublin,5435.37,floor_4,yes,secondary,blok,147,four
44,766454304,2022-07-03T13:17:42+02:00,2022-07-17T13:32:26+02:00,415000.0,Lublin,7745.43,floor_1,no,primary,blok,53.58,three
45,766947452,2022-07-05T20:04:47+02:00,2022-07-20T12:36:05+02:00,430000.0,Lublin,8620.69,floor_2,no,secondary,blok,49.88,three
46,751409322,2022-04-20T11:33:44+02:00,2022-07-16T04:34:09+02:00,365000.0,Lublin,8004.39,floor_3,no,secondary,blok,45.6,three
47,768069694,2022-07-10T21:33:12+02:00,2022-07-23T12:07:43+02:00,640000.0,Lublin,8938.55,floor_1,yes,secondary,blok,71.6,three
48,761461639,2022-06-08T16:46:34+02:00,2022-07-23T09:25:22+02:00,595000.0,Lublin,10508.65,floor_3,no,secondary,blok,56.62,two
49,757111083,2022-05-17T21:56:31+02:00,2022-07-23T09:24:15+02:00,450000.0,Lublin,7772.02,floor_3,yes,secondary,blok,57.9,three
50,767743928,2022-07-09T12:45:10+02:00,2022-07-23T08:42:28+02:00,289000.0,Lublin,9031.25,floor_0,yes,secondary,blok,32,two
51,770578955,2022-07-23T08:11:26+02:00,2022-07-23T08:13:36+02:00,485000.0,Lublin,7760,floor_3,yes,secondary,blok,62.5,three
52,770576657,2022-07-23T07:24:13+02:00,2022-07-23T07:31:30+02:00,450000.0,Lublin,7537.69,floor_1,yes,secondary,blok,59.7,four
53,754491961,2022-05-05T15:27:09+02:00,2022-07-23T06:36:11+02:00,529000.0,Lublin,9120.69,floor_3,yes,secondary,blok,58,two
54,733564783,2022-01-29T21:30:25+01:00,2022-07-23T23:44:14+02:00,335000.0,Lublin,6442.31,floor_1,no,secondary,kamienica,52,two
55,769516784,2022-07-17T17:53:46+02:00,2022-07-17T17:59:39+02:00,455000.0,Lublin,11375,floor_1,yes,secondary,blok,40,two
56,761005539,2022-06-06T16:35:04+02:00,2022-07-24T14:32:15+02:00,320000.0,Lublin,8434.37,floor_0,no,secondary,blok,37.94,two
57,764805522,2022-06-26T21:19:50+02:00,2022-07-23T06:14:10+02:00,414120.0,Lublin,8700,floor_4,no,secondary,blok,47.6,two
58,764046725,2022-06-22T14:27:54+02:00,2022-07-22T21:56:22+02:00,525000.0,Lublin,10294.12,floor_1,yes,secondary,blok,51,three
59,672024474,2021-04-16T21:53:02+02:00,2022-07-22T21:20:16+02:00,680000.0,Lublin,8000,floor_4,yes,secondary,kamienica,85,three
60,770502645,2022-07-22T16:09:31+02:00,2022-07-22T19:57:24+02:00,375000.0,Lublin,7812.5,floor_0,yes,secondary,blok,48,three
61,770729962,2022-07-24T08:51:14+02:00,2022-07-24T08:53:20+02:00,599999.0,Lublin,11439.45,floor_5,yes,secondary,blok,52.45,two
62,757128801,2022-05-18T00:09:03+02:00,2022-07-24T11:32:24+02:00,380000.0,Lublin,7916.67,,yes,secondary,blok,48,three
63,770669865,2022-07-23T17:10:10+02:00,2022-07-23T17:15:01+02:00,320000.0,Lublin,8350.73,floor_9,yes,secondary,blok,38.32,two
64,770524287,2022-07-22T18:12:51+02:00,2022-07-22T18:18:24+02:00,339000.0,Lublin,10272.73,floor_4,yes,secondary,blok,33,two
65,769888358,2022-07-19T13:56:04+02:00,2022-07-22T18:04:20+02:00,3400000.0,Lublin,70833.33,floor_3,yes,secondary,blok,48,three
66,767178543,2022-07-06T20:24:31+02:00,2022-07-22T17:49:41+02:00,410000.0,Lublin,10512.82,floor_3,no,secondary,blok,39,two
67,746118783,2022-03-26T16:48:29+01:00,2022-07-22T17:38:48+02:00,489000.0,Lublin,6269.23,floor_1,yes,secondary,pozostale,78,three
68,756659317,2022-05-15T21:35:17+02:00,2022-07-22T17:08:31+02:00,399000.0,Lublin,8278.01,floor_3,yes,secondary,blok,48.2,three
69,751409322,2022-04-20T11:33:44+02:00,2022-07-16T04:34:09+02:00,365000.0,Lublin,8004.39,floor_3,no,secondary,blok,45.6,three
70,770729962,2022-07-24T08:51:14+02:00,2022-07-24T08:53:20+02:00,599999.0,Lublin,11439.45,floor_5,yes,secondary,blok,52.45,two
71,672024474,2021-04-16T21:53:02+02:00,2022-07-22T21:20:16+02:00,680000.0,Lublin,8000,floor_4,yes,secondary,kamienica,85,three
72,661990037,2021-03-04T11:49:47+01:00,2022-07-22T16:08:13+02:00,415000.0,Lublin,8645.83,floor_3,yes,secondary,blok,48,three
73,770493831,2022-07-22T15:25:03+02:00,2022-07-22T15:27:11+02:00,579000.0,Lublin,5594.2,floor_3,yes,secondary,blok,103.5,four
74,759250710,2022-05-28T13:08:00+02:00,2022-07-22T15:20:37+02:00,330000.0,Lublin,7249.56,floor_0,no,secondary,blok,45.52,three
75,756225010,2022-05-13T15:20:01+02:00,2022-07-18T08:49:27+02:00,289000.0,Lublin,7605.26,floor_1,yes,secondary,kamienica,38,two
76,769516784,2022-07-17T17:53:46+02:00,2022-07-17T17:59:39+02:00,455000.0,Lublin,11375,floor_1,yes,secondary,blok,40,two
77,767743928,2022-07-09T12:45:10+02:00,2022-07-23T08:42:28+02:00,289000.0,Lublin,9031.25,floor_0,yes,secondary,blok,32,two
78,770198813,2022-07-20T22:57:15+02:00,2022-07-23T13:17:30+02:00,322000.0,Lublin,10637.59,floor_0,yes,secondary,apartamentowiec,30.27,one
79,766947452,2022-07-05T20:04:47+02:00,2022-07-20T12:36:05+02:00,430000.0,Lublin,8620.69,floor_2,no,secondary,blok,49.88,three
80,766454304,2022-07-03T13:17:42+02:00,2022-07-17T13:32:26+02:00,415000.0,Lublin,7745.43,floor_1,no,primary,blok,53.58,three
