,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
0,72,1998,lublin,floor_2,63409954,secondary,669000,9292,2022-08-17T17:07:44+02:00,2022-08-17T17:08:17+02:00,3,block,https://www.otodom.pl/pl/oferta/blisko-miasteczka-akademickiego-osiedle-ogrodzone-ID4i3Pc.html
1,63.2,1981,lublin,floor_2,63409946,secondary,486000,7690,2022-08-17T17:02:15+02:00,2022-08-17T17:03:20+02:00,3,block,https://www.otodom.pl/pl/oferta/trzypokojowe-z-winda-na-czechowie-po-remoncie-ID4i3P4.html
2,60.4,1997,lublin,floor_2,63135335,secondary,487000,8063,2022-05-28T00:12:43+02:00,2022-08-17T17:01:25+02:00,3,block,https://www.otodom.pl/pl/oferta/zielona-cicha-okolica-kalinowszczyzna-60-4-mkw-ID4gUnR.html
3,127,1998,lublin,floor_2,63409929,secondary,799000,6291,2022-08-17T16:57:08+02:00,2022-08-17T16:57:57+02:00,5,block,https://www.otodom.pl/pl/oferta/slawinek-blisko-uczelni-oddzielne-wejscia-ID4i3ON.html
4,47.6,1992,lublin,floor_4,63352788,secondary,364000,7647,2022-07-29T20:51:04+02:00,2022-08-17T15:28:29+02:00,2,block,https://www.otodom.pl/pl/oferta/lublin-czuby-2-pokoje-ul-bursztynowa-przy-wawozie-ID4hOXa.html
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,64.34,2016,lublin,floor_3,62923235,secondary,779000,12108,2022-03-28T06:55:12+02:00,2022-08-17T15:10:36+02:00,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-64-34m2-lublin-zygmunta-augusta-felin-ID4g1cT.html
8,49.39,2021,lublin,ground_floor,62161647,primary,410000,8301,2021-08-11T12:28:17+02:00,2022-08-17T14:30:34+02:00,3,block,https://www.otodom.pl/pl/oferta/osiedle-nowy-standard-komfortowe-mieszkanie-b8-6-ID4cP5d.html
9,,,,,,,,,,,,,
10,36,1980,lublin,floor_8,63408900,secondary,329000,9139,2022-08-17T14:06:25+02:00,2022-08-17T14:08:54+02:00,1,block,https://www.otodom.pl/pl/oferta/czechow-ul-paderewskiego-4-blisko-uczelni-ID4i3yc.html
11,64.2,1975,lublin,floor_higher_10,63408901,secondary,590000,9190,2022-08-17T14:06:54+02:00,2022-08-17T14:33:28+02:00,4,block,https://www.otodom.pl/pl/oferta/64m2-lsm-4pokoje-winda-ID4i3yd.html
12,60.8,1989,lublin,floor_2,63366180,secondary,495000,8141,2022-08-03T13:23:07+02:00,2022-08-17T13:28:51+02:00,3,block,https://www.otodom.pl/pl/oferta/czuby-skarpa-3-pokoje-60-80m2-ID4hSra.html
13,,,,,,,,,,,,,
14,62.08,2020,lublin,floor_1,63138049,secondary,690000,11115,2022-05-29T15:55:05+02:00,2022-08-17T12:30:30+02:00,3,block,https://www.otodom.pl/pl/oferta/piekny-apartament-na-szerokim-ID4gW5D.html
15,48.91,2022,lublin,ground_floor,63226734,secondary,393000,8035,2022-06-23T14:55:16+02:00,2022-08-17T12:27:48+02:00,2,block,https://www.otodom.pl/pl/oferta/atrakcyjne-nowe-mieszkanie-na-felinie-ID4hia2.html
16,48.1,1991,lublin,floor_3,63365727,secondary,409000,8503,2022-08-03T11:56:11+02:00,2022-08-17T12:21:17+02:00,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-duzy-balkon-rozklad-inwestycja-ID4hSjR.html
17,,,,,,,,,,,,,
18,39.91,1923,lublin,ground_floor,63407941,secondary,340000,8519,2022-08-17T10:55:34+02:00,2022-08-17T12:19:09+02:00,2,tenement,https://www.otodom.pl/pl/oferta/dwa-pokoje-parter-dziesiata-ID4i3iJ.html
19,80.39,2001,lublin,floor_2,63165696,secondary,685000,8521,2022-06-06T11:52:12+02:00,2022-08-17T12:28:21+02:00,4,block,https://www.otodom.pl/pl/oferta/rozklad-4-pokoje-drugie-pietro-garaz-ID4h2hy.html
20,88.84,2003,lublin,floor_1,63163267,secondary,899000,10119,2022-06-04T22:53:13+02:00,2022-08-17T12:29:02+02:00,4,ribbon,https://www.otodom.pl/pl/oferta/segment-bezczynszowe-garaz-ogrodek-ID4h1En.html
21,44.38,1968,lublin,floor_1,63340151,secondary,315000,7098,2022-07-26T16:25:33+02:00,2022-08-17T11:52:52+02:00,2,block,https://www.otodom.pl/pl/oferta/2pokoje-44-4m2-przyjazni-ID4hLFl.html
22,43,1965,lublin,floor_3,63315249,secondary,359000,8349,2022-07-18T23:35:19+02:00,2022-08-17T11:52:52+02:00,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-blisko-centrum-ID4hFbH.html
