,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
30,38.72,1975,lublin,ground_floor,63204428,secondary,298000,7696,2022-06-17 12:56:34,2022-07-25 14:38:31,2,block,https://www.otodom.pl/pl/oferta/dwa-osobne-pokoje-rozklad-parter-ID4hcmg.html
31,53.53,2022,lublin,floor_1,63175651,primary,440000,8220,2022-06-08 12:41:29,2022-08-07 13:01:24,3,block,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-w-nowym-bloku-ID4h4S7.html
32,36,1967,lublin,floor_4,63282993,secondary,289000,8028,2022-07-09 14:15:06,2022-08-08 14:31:31,2,block,https://www.otodom.pl/pl/oferta/do-wejscia-2-pokoje-niski-blok-winda-okazja-ID4hvNr.html
33,59,1993,lublin,floor_1,63082733,secondary,502000,8508,2022-05-14 13:02:04,2022-07-28 13:02:42,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-lublin-watykanska-1-pietro-3-pokoje-ID4gGHr.html
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,42.82,2023,lublin,ground_floor,63052875,primary,351124,8200,2022-05-06 14:01:39,2022-08-04 16:32:40,2,block,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-ponikwodzie-ID4gyWR.html
39,,,,,,,,,,,,,
40,57.82,1975,lublin,floor_4,62927720,secondary,500000,8648,2022-03-29 09:55:38,2022-08-07 18:55:27,4,block,https://www.otodom.pl/pl/oferta/4-pokoje-rustykalne-indywidualne-do-wejscia-ID4g2ne.html
41,,,,,,,,,,,,,
42,55,2011,lublin,ground_floor,62822449,secondary,499000,9073,2022-02-28 11:34:41,2022-07-28 12:45:42,3,block,https://www.otodom.pl/pl/oferta/czuby-3-pokoje-ogrod-30m2-ID4fAZj.html
43,45.01,2023,lublin,ground_floor,62708726,primary,396088,8800,2022-01-28 10:51:25,2022-07-27 12:15:22,2,block,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-weglinek-ID4f7p4.html
44,48.3,2000,lublin,ground_floor,62863737,secondary,480000,9938,2022-03-10 17:32:41,2022-08-07 18:45:43,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-wieniawa-ID4fLJf.html
45,49,2005,lublin,floor_2,62506545,secondary,415000,8469,2021-11-19 11:46:06,2022-08-02 10:57:06,2,block,https://www.otodom.pl/pl/oferta/agatowa-2-pietro-do-wejscia-2-pokoje-parking-ID4egO5.html
46,57.9,1973,lublin,ground_floor,62528897,secondary,415000,7168,2021-11-26 13:02:24,2022-08-05 10:57:59,4,block,https://www.otodom.pl/pl/oferta/kalinowszczyzna-58m2-niski-blok-4-pokoje-ID4emCB.html
47,60.72,2022,lublin,floor_1,63189675,primary,546480,9000,2022-06-11 23:43:14,2022-08-06 23:50:37,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-lublin-czechow-60-72m2-ID4h8vj.html
48,41.14,2022,lublin,floor_1,62249692,primary,363000,8824,2021-09-06 16:43:15,2022-08-08 13:37:42,2,block,https://www.otodom.pl/pl/oferta/stan-deweloperski-dostepne-07-2022-do-negocjacji-ID4dbZi.html
